종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","4625","60","1.31","4600","4635","4565","31882","146734990","209294010375","45252759"
"006840","AK홀딩스","13450","-10","-0.07","13470","13490","13330","769","10338740","178179695450","13247561"
"027410","BGF","3515","10","0.29","3495","3520","3495","11538","40492610","336444520365","95716791"
"282330","BGF리테일","120700","1400","1.17","119900","121300","118700","23784","2862663500","2086167454200","17283906"
"138930","BNK금융지주","10060","130","1.31","9990","10200","9960","300647","3036480780","3240209686280","322088438"
"001460","BYC","34500","0","0.00","34300","34550","33950","395","13562100","215492175000","6246150"
"001465","BYC우","13450","110","0.82","13490","13490","13340","1510","20181100","28969282500","2153850"
"001040","CJ","116400","4500","4.02","113000","116600","112200","60657","6936772000","3396202567200","29176998"
"079160","CJ CGV","7090","140","2.01","7000","7150","6940","367816","2601032080","1173960342420","165579738"
"00104K","CJ4우(전환)","87200","1500","1.75","85600","87200","84800","4965","425071300","368551846400","4226512"
"000120","CJ대한통운","96500","2400","2.55","93800","96700","93800","30530","2926039500","2201391196000","22812344"
"011150","CJ씨푸드","3525","0","0.00","3485","3660","3460","1092414","3870765685","126655974825","35930773"
"011155","CJ씨푸드1우","19290","90","0.47","19000","19450","19000","5","96620","3858000000","200000"
"001045","CJ우","60100","900","1.52","59200","60500","59100","4886","291250200","135839402300","2260223"
"097950","CJ제일제당","323500","1500","0.47","323000","325000","320000","9265","2985391000","4870029171000","15054186"
"097955","CJ제일제당 우","139800","1000","0.72","139200","139800","138700","1236","171900200","185575133400","1327433"
"000480","CR홀딩스","5880","0","0.00","5830","5900","5820","1333","7823080","275716081200","46890490"
"000590","CS홀딩스","67300","-100","-0.15","67300","67300","66700","206","13817800","77696638600","1154482"
"012030","DB","1310","26","2.02","1277","1322","1277","487976","637330996","263537852230","201173933"
"016610","DB금융투자","4985","50","1.01","4935","5060","4935","117709","588207450","211595249165","42446389"
"005830","DB손해보험","121900","4000","3.39","119500","123600","117500","72572","8835315200","8630520000000","70800000"
"000990","DB하이텍","40550","50","0.12","40500","40700","40300","76206","3082396800","1800362743400","44398588"
"139130","DGB금융지주","8440","50","0.60","8410","8530","8380","308154","2606435700","1427590830520","169145833"
"001530","DI동일","29800","-1200","-3.87","31100","31200","29800","63703","1938017850","751427025600","25215672"
"000210","DL","46650","500","1.08","46400","47400","46200","14491","680017450","977591988600","20955884"
"000215","DL우","24950","-50","-0.20","25000","25050","24700","353","8815550","42068569250","1686115"
"375500","DL이앤씨","32400","100","0.31","32600","32900","32350","36216","1181275700","1253673385200","38693623"
"37550L","DL이앤씨2우(전환)","22200","150","0.68","22100","22500","22000","1437","31836200","46885312200","2111951"
"37550K","DL이앤씨우","16770","-20","-0.12","17070","17070","16750","536","8993840","35449851450","2113885"
"007340","DN오토모티브","91500","3300","3.74","88200","92600","88000","16074","1470270300","914451457500","9994005"
"004840","DRB동일","4810","-15","-0.31","4765","4860","4765","6294","30293635","95863300000","19930000"
"155660","DSR","4000","-10","-0.25","4010","4010","3980","748","2988490","64000000000","16000000"
"069730","DSR제강","4030","50","1.26","4000","4085","3950","9695","38733955","58032000000","14400000"
"017860","DS단석","83400","100","0.12","82800","84500","81600","98490","8187488900","488841093600","5861404"
"017940","E1","75800","400","0.53","75200","76200","75100","2578","195510800","519988000000","6860000"
"365550","ESR켄달스퀘어리츠","5010","-20","-0.40","5030","5060","4995","44912","225307635","1067575890000","213089000"
"383220","F&F","60200","1600","2.73","58100","62200","58100","78354","4768623400","2306085915000","38307075"
"007700","F&F홀딩스","13820","130","0.95","13740","13890","13690","1743","24062640","540560551940","39114367"
"114090","GKL","11700","370","3.27","11330","11850","11300","215897","2521768700","723711339000","61855670"
"078930","GS","46900","1850","4.11","45250","46950","44900","64188","2965386550","4357731228200","92915378"
"006360","GS건설","20250","-150","-0.74","20400","20450","20150","218229","4430982400","1733025172500","85581490"
"001250","GS글로벌","4020","30","0.75","3985","4060","3960","4031128","16177791660","331785731280","82533764"
"007070","GS리테일","21900","300","1.39","21750","22050","21600","100957","2212912750","2293322491800","104717922"
"078935","GS우","42850","650","1.54","42350","42950","41950","7434","316462700","76479794100","1784826"
"012630","HDC","11250","110","0.99","11180","11310","10960","111771","1245679520","672094361250","59741721"
"039570","HDC랩스","8320","20","0.24","8310","8330","8240","3826","31622040","215967240320","25957601"
"089470","HDC현대EP","4550","20","0.44","4520","4555","4500","22225","100636330","145145000000","31900000"
"294870","HDC현대산업개발","26850","350","1.32","26650","27250","26250","249147","6688714300","1769611810500","65907330"
"009540","HD한국조선해양","180000","-500","-0.28","180900","181500","177600","132971","23889953300","12739160880000","70773116"
"267250","HD현대","79200","600","0.76","78400","79400","78000","65731","5166519600","6256252332000","78993085"
"267270","HD현대건설기계","52200","100","0.19","52300","52800","52000","35985","1885815400","983818411200","18847096"
"443060","HD현대마린솔루션","110300","3400","3.18","107500","111600","107300","112659","12422996800","4902835000000","44450000"
"071970","HD현대마린엔진","18170","-280","-1.52","18450","18450","17900","287032","5193472580","616278049630","33917339"
"010620","HD현대미포","102300","1600","1.59","100900","102700","99700","108645","11000569200","4086081842700","39942149"
"322000","HD현대에너지솔루션","25600","-450","-1.73","26050","26550","25600","76769","1995282200","286720000000","11200000"
"042670","HD현대인프라코어","7030","40","0.57","7000","7080","7000","255096","1798127680","1354370745010","192655867"
"267260","HD현대일렉트릭","284000","-8500","-2.91","289500","296000","280500","172441","49745898500","10237386340000","36047135"
"329180","HD현대중공업","185600","100","0.05","186100","187800","183000","102033","18936095700","16476290329600","88773116"
"097230","HJ중공업","2930","0","0.00","2930","2975","2915","13348","39145850","243993643330","83274281"
"014790","HL D&I","2700","50","1.89","2635","2745","2635","55065","149021575","102218222700","37858601"
"003580","HLB글로벌","5280","-150","-2.76","5420","5430","5270","58321","311980410","250745040480","47489591"
"204320","HL만도","33500","-300","-0.89","33650","33800","33400","65803","2209525900","1573063520000","46957120"
"060980","HL홀딩스","34600","100","0.29","34750","34750","34400","1791","61745400","351861586000","10169410"
"011200","HMM","16810","100","0.60","16710","16930","16710","246010","4143845770","12591353927760","749039496"
"035000","HS애드","6380","30","0.47","6370","6380","6350","880","5603280","105700069420","16567409"
"002460","HS화성","9060","0","0.00","9010","9060","9010","798","7219880","91959000000","10150000"
"487570","HS효성","44750","150","0.34","44400","45000","44400","9781","438119850","166735233250","3725927"
"003560","IHQ","10760","0","0.00","0","0","0","0","0","62107613080","5772083"
"175330","JB금융지주","14320","-20","-0.14","14440","14520","14280","99725","1433791560","2793591395360","195083198"
"234080","JW생명과학","11380","-80","-0.70","11470","11540","11320","14125","160653310","180197224520","15834554"
"001060","JW중외제약","29800","-100","-0.33","29850","30300","29650","42268","1265460750","693920714000","23285930"
"001067","JW중외제약2우B","57600","0","0.00","57600","57600","57600","3","172800","12094444800","209973"
"001065","JW중외제약우","31400","100","0.32","31500","31500","31400","22","692800","10737261400","341951"
"096760","JW홀딩스","3240","-10","-0.31","3250","3270","3205","18313","59018385","239516812080","73924942"
"105560","KB금융","87000","-700","-0.80","87500","88100","86600","269549","23510138400","35105463264000","403511072"
"432320","KB스타리츠","4400","-5","-0.11","4405","4405","4385","10918","47946885","446222854000","101414285"
"002380","KCC","305000","18500","6.46","287500","305000","286500","33617","10014938000","2710373655000","8886471"
"344820","KCC글라스","41150","-150","-0.36","41300","41400","41050","6467","266706650","657186568800","15970512"
"009070","KCTC","5020","495","10.94","4505","5290","4440","8048612","40858179505","150600000000","30000000"
"009440","KC그린홀딩스","849","6","0.71","843","852","816","137430","113586064","19047298020","22434980"
"119650","KC코트렐","402","1","0.25","401","416","397","115435","46725981","25595053374","63669287"
"092220","KEC","1068","-3","-0.28","1062","1080","1062","172603","184766046","214415034588","200763141"
"003620","KG모빌리티","6000","20","0.33","5980","6030","5930","141702","849861010","1178187432000","196364572"
"016380","KG스틸","5870","140","2.44","5680","5880","5660","120468","700945450","587052225390","100008897"
"001390","KG케미칼","4390","40","0.92","4340","4405","4330","52134","227994775","300579085600","68469040"
"033180","KH 필룩스","6630","0","0.00","0","0","0","0","0","125330728770","18903579"
"015590","KIB플러그에너지","444","-10","-2.20","461","461","440","400686","178226618","105219805536","236981544"
"001940","KISCO홀딩스","18900","290","1.56","18620","18940","18620","2231","41930510","305733582000","16176380"
"025000","KPX케미칼","48400","500","1.04","47900","48500","47650","1181","57039700","234256000000","4840000"
"092230","KPX홀딩스","57200","-400","-0.69","57300","58000","57000","1109","63469700","241649751200","4224646"
"000040","KR모터스","591","5","0.85","586","599","582","29742","17570586","35538524988","60132868"
"044450","KSS해운","9130","40","0.44","9080","9180","9050","13096","119638390","210774084400","23085880"
"030200","KT","40300","1200","3.07","39400","40500","39300","543330","21852159700","10156473905500","252021685"
"033780","KT&G","109700","2300","2.14","107500","110900","107300","140564","15430023800","14296377920900","130322497"
"058850","KTcs","2690","5","0.19","2665","2705","2665","39779","106870965","114822650000","42685000"
"058860","KTis","2540","5","0.20","2535","2540","2530","11752","29822875","88397080000","34802000"
"093050","LF","14650","100","0.69","14670","14690","14500","19436","284487960","428366000000","29240000"
"003550","LG","84800","5700","7.21","79700","85400","79500","301597","25111841200","13339124206400","157300993"
"034220","LG디스플레이","10660","-600","-5.33","11300","11320","10650","1490293","16155012900","5330000000000","500000000"
"051900","LG생활건강","360000","-500","-0.14","363000","364500","358500","17172","6191578500","5622550920000","15618197"
"051905","LG생활건강우","160300","-800","-0.50","161100","161500","150900","2631","419362200","336581429100","2099697"
"373220","LG에너지솔루션","411000","-1000","-0.24","416500","419000","407500","221186","91327030000","96174000000000","234000000"
"003555","LG우","61200","1300","2.17","60000","61500","60000","15582","949459000","184923144000","3021620"
"032640","LG유플러스","9960","120","1.22","9840","9960","9820","559350","5552026410","4348649155560","436611361"
"011070","LG이노텍","263500","-16500","-5.89","278000","278000","257500","273972","72271325500","6236282694500","23667107"
"066570","LG전자","102000","400","0.39","102100","102900","101700","183876","18785963400","16692077028000","163647814"
"066575","LG전자우","48200","-50","-0.10","48300","48400","47900","8452","407540350","828364814400","17185992"
"037560","LG헬로비전","2700","-5","-0.18","2690","2715","2680","16632","44856925","209106535500","77446865"
"051910","LG화학","337500","-2500","-0.74","344500","346500","337000","147886","50508277500","23824915762500","70592343"
"051915","LG화학우","219500","-3000","-1.35","225500","225500","219000","14898","3309593000","1687691600000","7688800"
"079550","LIG넥스원","193800","1600","0.83","193500","200000","193100","118947","23330862200","4263600000000","22000000"
"006260","LS","112100","5000","4.67","107200","112500","107200","123381","13652930400","3609620000000","32200000"
"010120","LS ELECTRIC","151900","200","0.13","152800","157400","151600","429417","66443959700","4557000000000","30000000"
"000680","LS네트웍스","3510","100","2.93","3420","3540","3410","94149","326421260","276598586160","78803016"
"229640","LS에코에너지","26300","0","0.00","26550","26650","26150","58552","1543847150","805434317700","30624879"
"108320","LX세미콘","68700","-200","-0.29","69100","69100","68400","6938","476054200","1117357410000","16264300"
"001120","LX인터내셔널","30950","-150","-0.48","30950","31300","30850","74659","2315801100","1199622000000","38760000"
"108670","LX하우시스","41050","450","1.11","41050","41400","40600","4058","166758200","368122853500","8967670"
"108675","LX하우시스우","23300","-250","-1.06","23550","23900","23000","3344","78033100","24053289000","1032330"
"383800","LX홀딩스","7150","10","0.14","7170","7250","7140","87012","624694030","545406933500","76280690"
"38380K","LX홀딩스1우","8880","10","0.11","9150","9160","8730","157","1400480","13011730800","1465285"
"023150","MH에탄올","6150","130","2.16","6060","6150","6050","7678","46959870","45377934900","7378526"
"035420","NAVER","166800","200","0.12","167200","169700","166800","306629","51524046000","26818855934400","160784508"
"181710","NHN","19910","20","0.10","19800","20050","19610","18917","376234580","672283508930","33766123"
"400760","NH올원리츠","3710","-35","-0.93","3715","3750","3705","23273","86587640","156562000000","42200000"
"005940","NH투자증권","14020","230","1.67","13790","14050","13710","377605","5265292390","4591442031980","327492299"
"005945","NH투자증권우","12000","20","0.17","11990","12020","11940","26957","323504340","226451616000","18870968"
"338100","NH프라임리츠","4515","0","0.00","4525","4525","4495","10679","48113610","84249900000","18660000"
"034310","NICE","11110","190","1.74","10910","11170","10910","13765","152836940","416663629470","37503477"
"030190","NICE평가정보","10170","-80","-0.78","10250","10250","10160","14017","142777000","611295003900","60107670"
"008260","NI스틸","4030","30","0.75","4000","4035","3980","11829","47446325","115258471510","28600117"
"004250","NPC","4900","30","0.62","4870","4905","4855","40616","198161835","179928000000","36720000"
